dataset,algorithm,variant,metric,metric_group,n,mean,median,trimean,best_25,worst_25,max,min
lsmi,local_space_average_color,default,mean_reproduction_angular_error,multi_illuminant_errors,7484,7.806587,6.037912,6.348167,2.714764,16.04315,43.775478,0.599759
lsmi,local_space_average_color,default,mean_reproduction_delta_e_2000,multi_illuminant_errors,7484,9.374403,8.466365,8.60623,4.242147,16.17762,31.77508,1.058765
lsmi,max_rgb,naive,angular_error,single_illuminant_errors,3396,12.24362,14.736758,13.085246,2.807743,19.842203,41.434501,0.0
lsmi,max_rgb,naive,mean_angular_error,multi_illuminant_errors,4088,15.884997,16.762039,16.639225,7.587286,22.479492,57.089455,0.524852
lsmi,max_rgb,naive,mean_recovery_angular_error,multi_illuminant_errors,4088,15.884997,16.762039,16.639225,7.587286,22.479492,57.089455,0.524852
lsmi,max_rgb,naive,mean_recovery_delta_e_2000,multi_illuminant_errors,4088,18.631817,21.791075,20.5821,7.666889,24.629831,46.431021,0.412215
lsmi,max_rgb,naive,mean_reproduction_angular_error,multi_illuminant_errors,4088,16.107373,16.820208,16.782442,8.39523,22.370049,43.111038,0.540951
lsmi,max_rgb,naive,mean_reproduction_delta_e_2000,multi_illuminant_errors,4088,20.032715,22.008443,21.547838,12.6426,24.040676,30.959419,1.464094
lsmi,max_rgb,naive,recovery_angular_error,single_illuminant_errors,3396,12.24362,14.736758,13.085246,2.807743,19.842203,41.434501,0.0
lsmi,max_rgb,naive,recovery_delta_e_2000,single_illuminant_errors,3396,14.850597,19.648168,16.774945,2.523951,23.679294,47.180051,0.0
lsmi,max_rgb,naive,reproduction_angular_error,single_illuminant_errors,3396,12.572689,14.992791,13.489105,3.279203,19.843229,36.189677,0.0
lsmi,max_rgb,naive,reproduction_delta_e_2000,single_illuminant_errors,3396,17.022148,21.3172,19.015404,5.904051,23.463857,26.940651,0.0
lsmi,multi_light_grid,gray_edge,mean_angular_error,multi_illuminant_errors,7484,9.254122,7.778278,7.971884,4.438556,16.793821,61.353203,1.351092
lsmi,multi_light_grid,gray_edge,mean_recovery_angular_error,multi_illuminant_errors,7484,9.254122,7.778278,7.971884,4.438556,16.793821,61.353203,1.351092
lsmi,multi_light_grid,gray_edge,mean_recovery_delta_e_2000,multi_illuminant_errors,7484,9.425769,7.582209,7.867284,3.766703,18.390266,81.219873,1.086799
lsmi,multi_light_grid,gray_edge,mean_reproduction_angular_error,multi_illuminant_errors,7484,9.901144,8.578329,8.751118,5.160011,17.103787,51.911942,1.904844
lsmi,multi_light_grid,gray_edge,mean_reproduction_delta_e_2000,multi_illuminant_errors,7484,13.854144,13.641987,13.657098,9.176123,18.97011,32.489558,3.688227
lsmi,multi_light_grid,gray_world,mean_angular_error,multi_illuminant_errors,7484,6.75314,4.965183,5.262531,2.144551,14.545504,55.417248,0.594585
lsmi,multi_light_grid,gray_world,mean_recovery_angular_error,multi_illuminant_errors,7484,6.75314,4.965183,5.262531,2.144551,14.545504,55.417248,0.594585
lsmi,multi_light_grid,gray_world,mean_recovery_delta_e_2000,multi_illuminant_errors,7484,5.829972,4.23474,4.528139,1.854045,12.631251,47.260907,0.55488
lsmi,multi_light_grid,gray_world,mean_reproduction_angular_error,multi_illuminant_errors,7484,8.010858,6.227399,6.553133,2.751591,16.374338,43.911419,0.695206
lsmi,multi_light_grid,gray_world,mean_reproduction_delta_e_2000,multi_illuminant_errors,7484,9.458837,8.496469,8.692294,4.285201,16.29619,31.861438,1.265025
lsmi,shades_of_gray,default,angular_error,single_illuminant_errors,3396,7.679784,6.756576,7.122194,1.228841,15.516928,34.888153,0.005762
lsmi,shades_of_gray,default,mean_angular_error,multi_illuminant_errors,4088,10.241585,9.83158,9.772133,2.947801,18.462073,57.174,0.275746
lsmi,shades_of_gray,default,mean_recovery_angular_error,multi_illuminant_errors,4088,10.241585,9.83158,9.772133,2.947801,18.462073,57.174,0.275746
lsmi,shades_of_gray,default,mean_recovery_delta_e_2000,multi_illuminant_errors,4088,10.139402,9.140348,9.434132,2.478071,19.307194,46.600117,0.298498
lsmi,shades_of_gray,default,mean_reproduction_angular_error,multi_illuminant_errors,4088,11.107356,10.941067,10.750077,3.72526,19.164392,43.495808,0.308455
lsmi,shades_of_gray,default,mean_reproduction_delta_e_2000,multi_illuminant_errors,4088,14.849571,15.972783,15.402858,6.218341,21.985765,31.257053,0.546273
lsmi,shades_of_gray,default,recovery_angular_error,single_illuminant_errors,3396,7.679784,6.756576,7.122194,1.228841,15.516928,34.888153,0.005762
lsmi,shades_of_gray,default,recovery_delta_e_2000,single_illuminant_errors,3396,8.098374,6.142475,7.051937,1.101659,17.566184,29.532884,0.003932
lsmi,shades_of_gray,default,reproduction_angular_error,single_illuminant_errors,3396,8.219212,7.691196,7.818544,1.501245,15.902769,36.481474,0.009685
lsmi,shades_of_gray,default,reproduction_delta_e_2000,single_illuminant_errors,3396,12.385443,12.572812,12.486699,2.705519,21.531258,27.923252,0.024361
lsmi,shades_of_gray,p3,angular_error,single_illuminant_errors,3396,6.056314,4.490196,5.09312,1.082026,13.248899,35.27231,0.018911
lsmi,shades_of_gray,p3,mean_angular_error,multi_illuminant_errors,4088,8.555326,6.89504,7.328469,2.238133,17.581325,56.163177,0.049254
lsmi,shades_of_gray,p3,mean_recovery_angular_error,multi_illuminant_errors,4088,8.555326,6.89504,7.328469,2.238133,17.581325,56.163177,0.049254
lsmi,shades_of_gray,p3,mean_recovery_delta_e_2000,multi_illuminant_errors,4088,7.974589,6.06781,6.686114,1.856681,17.017827,46.403619,0.041025
lsmi,shades_of_gray,p3,mean_reproduction_angular_error,multi_illuminant_errors,4088,9.610946,8.085294,8.44405,2.946242,18.82226,43.461441,0.071369
lsmi,shades_of_gray,p3,mean_reproduction_delta_e_2000,multi_illuminant_errors,4088,12.553229,12.179069,12.322446,4.872914,20.807844,31.313794,0.124326
lsmi,shades_of_gray,p3,recovery_angular_error,single_illuminant_errors,3396,6.056314,4.490196,5.09312,1.082026,13.248899,35.27231,0.018911
lsmi,shades_of_gray,p3,recovery_delta_e_2000,single_illuminant_errors,3396,5.955795,3.994352,4.727096,0.952964,13.834638,29.743834,0.013519
lsmi,shades_of_gray,p3,reproduction_angular_error,single_illuminant_errors,3396,6.704986,5.363725,5.840448,1.343989,14.017745,36.593259,0.02587
lsmi,shades_of_gray,p3,reproduction_delta_e_2000,single_illuminant_errors,3396,10.285544,9.062457,9.707039,2.40555,19.786057,27.937712,0.059267
nus8,bright_pixels,top_5_percent,angular_error,single_illuminant_errors,1736,3.172692,2.346936,2.488938,0.65117,7.216483,19.340317,0.038784
nus8,bright_pixels,top_5_percent,recovery_angular_error,single_illuminant_errors,1736,3.172692,2.346936,2.488938,0.65117,7.216483,19.340317,0.038784
nus8,bright_pixels,top_5_percent,recovery_delta_e_2000,single_illuminant_errors,1736,2.753077,2.042975,2.173265,0.551125,6.232835,15.458547,0.023411
nus8,bright_pixels,top_5_percent,reproduction_angular_error,single_illuminant_errors,1736,4.373508,3.183335,3.402901,0.822442,10.087557,27.443431,0.046898
nus8,bright_pixels,top_5_percent,reproduction_delta_e_2000,single_illuminant_errors,1736,6.062981,4.954911,5.185805,1.628316,12.475357,24.463456,0.147952
